time;life;love;night;home;men;wife;tv;baby;work;family;honey;god;father;promise;trust;hell;heart;mom;babe;mother;daughter;women;son;money;ideas;room;cars;chance;daddy;company;reason;face;guess;husband;phone;operation;girls;guys;dad;mind;marriage;problems;power;world;friend;hope;lady;sweetheart;brother;fault;sister;today;pity;truth;agent;office;job;morning;police;minute;drugs;hate;wedding;fun;child;excuse;fire;hospital;fact;house;valley;station;mistake;honeymoon;deal;lie;trouble;business;boys;compassion;school;enchantment;sleep;news;change;meaning;town;computer;system;party;hair;case;question;television;information;doctor;check;crash;team
;;;;;;;;;;;;5;;;;;;6;;;;;;;;;;;;;;;;10;;;;;;;;;5;;;;;;;;9;;;;;;;;4;;;;;;;;;;;7;;;;6;;;;;;;;;;;;5;6;;;;;;;;;;;;
;;8;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;8;;8;;;;;;;;;3;;;8;;;;;;;;8;;;;;;;;;;;;;2;;;;9;;;;;;;;;;;2;;;;;;;;;
;;;;;;;;;;7;2;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;;;;5;;;3;;;;;;;;;;;;;;;;;8;;;;;;6;;;;;;;;;3;;;;;
4;;;;;;;;;;;;;;;;;;;9;;;;6;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;2;;;;;;;;;;9;;2;9;;;;;;;;;;;;;;;8;;;;;;;2;;;;;;;;;
;;;5;7;;;;;;;;;;7;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;8;;;;;;;;;;;;;;;;;7;;;6;;;;5;;;;;;;;4;;;;
;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;2;;;5;;;;5;;6;;;;;;;;;;;;;;7;;7;;;9;;;;;;;;;;;;;;;;;;3;;
;;;;;;;;;;;;8;;;;;;;;7;;;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;5;;;;;;;;;;;;3;;;5;;;2;;;;;;;;;;;;;;;;;;8;;;
;;;;8;;2;5;8;3;8;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;
;;;;;;;3;;;;5;5;;;;;;;;;;3;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;5;;;;;;;;;;7;6;;;;;6;;;;;;;;;;;;;
;;8;;;8;;;;;;;;;;;;7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;6;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;;4;;;;;;6;;;;
;7;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;4;;;;;;;7;;;;;;5;;;;;;;;;;;9;;;;;;4;;;;;;;;;;;;;;;;;;5;;4;;;;5;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;9;;;;;;;;;;;;;;9;;;;;;8;;;;;;8;;;;;10;;;;3;9;;;;;;;;;;;;;;;;6;8;;;;;;;;;;;;;;
;7;;;;;;;;;;;4;;;;;;10;;;;;;;;;1;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;4;5;;;;;;;;;10;;;;2;;;;;;;;;;;;;
;;;;;8;;;;;;;;;8;8;;;;5;;;;;;;;2;;;;;;;;6;5;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
;;6;;;8;;;;;;;;5;;;;;;;;;2;;;;;;;;;;;;;;;;;;;7;7;;;;;;;;;;;;;;;6;;;6;4;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;8;;;;;4;;8;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;10;5;;;;;;;;5;;;;;;;;7;5;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;8;;;;;;10;;;;;10;;;;;;;;;;;;;;;3;;;;;;;;;;7;;;;;;10;;;;;;;;1;;;;10;;;;;;;;;;;8;;;;;;;;;;;;;;;;;7;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;6;;;;;;;;;8;;;;;4;5;;;;8;;;;;;;;;6;;;;;7;;;;;;;9;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;10;;;;;;7;;;;4;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;;;3;;;;;;;;;;;;;;8;;;;;10;;;;;6;;;
;;;;;;;;;;;;5;;;;;;;;;;;;6;;;;;;;;8;;;;;;10;;;8;;;;;;;;;;;6;;;;;;;;5;;;;6;8;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
;8;;;;;;;;3;;;;;;;;;;;;;;;;;8;;;;;;;8;;;;;;7;;;;;;;;;;;;;;;;;;3;;;;;;;;;;1;;;6;;;;;3;;;;;;;;;;;;;;;;8;;;;;;;;
;;;;;;;3;9;;;;;;;;;;;;;;;9;;;;;;;;;8;;9;;;;;;;;;;;;;;;;;;;;;2;;;;3;;;;8;;;;;;;;;;;;;;;3;;;;;;;;;8;;;;;;;;;;;;
;;;;;;1;;;;;;5;;;8;;;;;;;;;;;7;;3;;;;;8;;;;;;;;;;;;;;;;;;;;;;;3;;;;6;;;;;;;;;;;;;;;;;;3;;;;;;;;;;5;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;8;;;;5;;;;;;;;;;;;;;;;;;4;;;;3;;;;;;;;5;3;;;;;;;;;;6;
;;;;;;;;;;;;;;;10;;;;;;7;;5;;;6;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;2;6;;;4;
;;;5;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;5;;8;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;;5;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;
;;6;;;;;;;;;;;;;;;;;;;;;;;;6;;5;;;;;;;;;;;;;6;;;;;;;;;;;;;;5;5;5;;;;5;;;;;;;;;;;;;;;;;;6;;;;;;;;;;5;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;7;;;;;;;1;;;;;;;;;;;;;;;;;;6;;3;;;;;;;;;;;6;;;;;;;;;;;;;;;;;8;7;;;;;;;;;;;5;;
;;;;;;;;;;;;;;;;;;;;;;;7;;;9;1;;;;;;;;7;;;;;;10;;;;;;;;;;;;;7;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;1
;;;;;;10;5;;;6;;;;;;;;8;;;;;;;;;;;;4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;7;;4;;;;;;;;;;;;;4;;
;5;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;8;6;;;;;;5;;;;;;;;;;;;;;;;;;;;4;;;8;;;7;;5;;;;;;;;;;;;;;
5;;;;6;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;7;;;;;;;;;;;5;;;;;;;;;;;;;;7;5;;;;;;7;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;6;;;
;;8;;7;;;;9;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;8;;;;;;;;;7;;;;;;;9;;;;;;;;;;;;;4;;;3;
;8;;;;;;;;;;;;;;7;;;9;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;8;;;3;;;;2;;;;;;;4
7;;9;4;;;;;;;;;;8;;7;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;8;;;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;2;;;;;;;;6;;4;;;;;;;;;;;5;;;;;;;4;;;;7;;;;;;;;;;;;;;;;;;;3;;;;;;;;;6;;4
;;;;;;;6;;4;;;;3;;;;;;4;;;;;;5;;;;;4;;;5;;;;;;;;;;;;;8;;;;;;;;5;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;5;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;6;4;;;10;;;;;;;;
;;;;;;;6;;;;;;4;8;;;;7;;;;;;;;;;;;;;7;7;;;;;;;;;;;;;5;;;7;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;4;;;;;;;;;;
;;;;;8;;;;;8;;;;7;;;;;;;;;;;;;;7;;;;;;;;4;;;;;;;3;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;6;;;;;;;;;;8;;;;;;;;;;;;;6;;;
